"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007249","canonical NF-kappaB signal transduction","15/100","359/18860",0.0417827298050139,7.88022284122563,9.60937276170158,6.82405958499602e-10,4.81096200742219e-08,3.08279884760785e-08,"TNFAIP3/TNIP1/ZC3H12A/IL1B/BIRC3/IRAK2/IL1A/EDN1/ADAM8/TNFSF14/TNF/BST2/TLR2/S100A12/LTB",15
"GO:0071621","granulocyte chemotaxis","10/100","121/18860",0.0826446280991736,15.5867768595041,11.7522692341147,8.63051498398631e-10,5.92006676469115e-08,3.79349805128275e-08,"SAA1/S100A8/S100A9/CXCL5/IL1B/CXCL3/EDN1/S100A7/CXCL6/S100A12",10
"GO:0007159","leukocyte cell-cell adhesion","16/100","439/18860",0.0364464692482916,6.87380410022779,9.0915520649499,1.27170524918879e-09,8.49365242747673e-08,5.44261664819026e-08,"S100A8/ICAM1/TNIP1/ZC3H12A/S100A9/IL6/IL1B/IL1A/VNN1/VTCN1/ADAM8/TNFSF14/TNF/MAP3K8/STAT5A/MIR221",16
"GO:2001236","regulation of extrinsic apoptotic signaling pathway","11/100","167/18860",0.0658682634730539,12.422754491018,10.8251142443089,1.35189677805038e-09,8.79772826331248e-08,5.63746429713317e-08,"TNFAIP3/INHBA/ICAM1/IL1B/IL1A/CSF2/TNFSF14/TNF/IFI6/LTB/MIR221",11
"GO:0043122","regulation of canonical NF-kappaB signal transduction","14/100","332/18860",0.0421686746987952,7.95301204819277,9.33191267158194,2.35953706644092e-09,1.49712626865677e-07,9.59338096750323e-08,"TNFAIP3/TNIP1/ZC3H12A/IL1B/BIRC3/IRAK2/IL1A/EDN1/TNFSF14/TNF/BST2/TLR2/S100A12/LTB",14
"GO:0048661","positive regulation of smooth muscle cell proliferation","9/100","98/18860",0.0918367346938776,17.3204081632653,11.82625941551,2.44667110099938e-09,1.51454908642352e-07,9.70502400781525e-08,"HBEGF/IL6/MMP9/EDN1/PDGFB/ITGB3/TNF/P2RY6/MIR221",9
"GO:0016032","viral process","15/100","396/18860",0.0378787878787879,7.14393939393939,9.02141233946914,2.60830121603234e-09,1.5761591634024e-07,1.00998129793733e-07,"ICAM1/TNIP1/MX1/ZC3H12A/IL32/OAS3/OAS2/OAS1/IFITM1/ITGB3/IRF7/TNF/BST2/GBP5/MIR221",15
"GO:0006953","acute-phase response","7/100","47/18860",0.148936170212766,28.0893617021277,13.5756798136195,5.03417831081132e-09,2.97133594252073e-07,1.9039915520694e-07,"SAA2/SAA1/IL6/IL1B/SERPINA3/IL1A/TNF",7
"GO:0033002","muscle cell proliferation","12/100","252/18860",0.0476190476190476,8.98095238095238,9.31210907844645,9.25335474553818e-09,5.33750326003998e-07,3.42019930187954e-07,"TNFAIP3/SOD2/HBEGF/IL6/MMP9/EDN1/PDGFB/ITGB3/TNF/PPARGC1A/P2RY6/MIR221",12
"GO:0045069","regulation of viral genome replication","8/100","80/18860",0.1,18.86,11.687498477814,9.95089512745558e-09,5.60182592909636e-07,3.58957366366135e-07,"TNIP1/MX1/OAS3/OAS2/OAS1/IFITM1/TNF/BST2",8
