"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TPST2",273.562410552484,-0.109016018344889,0.154861136098286,-0.703959825502632,0.481457792900426,0.843230074589913
"CDH6",667.882930770982,-0.0831582783820028,0.118208190189638,-0.70348998871055,0.481750443572949,0.843230074589913
"UBE3D",32.950386498428,0.258151067016682,0.366595591015978,0.704184865675131,0.481317654761453,0.843230074589913
"RNF185",644.794423408702,-0.0788963882137366,0.112201083570993,-0.703169574684336,0.481950077683879,0.843276225586472
"NDUFB9",1494.31787078421,0.070762929414355,0.10064109076937,0.703121646172499,0.48197994343381,0.843276225586472
"GATAD2A",1125.23039441611,0.0861250695054594,0.122535295260821,0.702859280847521,0.482143449281059,0.843322205082324
"PTOV1",580.622624981147,0.0971840935013566,0.138262100845821,0.702897561275514,0.482119591071914,0.843322205082324
"TAF13",702.785789046975,-0.092731897948007,0.132358857152961,-0.700609690523703,0.483546629180121,0.843742989103346
"KLHDC9",11.1865656884154,-0.485680136572103,0.692840551990419,-0.700998426227828,0.483303997355613,0.843742989103346
"PUS3",368.997153843806,0.108315840170533,0.154267900829339,0.702128178242072,0.482599230872703,0.843742989103346
"FMNL3",60.8795552548559,0.23523056376867,0.335647678219373,0.700825833256406,0.483411714180938,0.843742989103346
"IPO5",1810.01252246833,-0.0784197607054019,0.111779608381719,-0.701556946215131,0.482955509337084,0.843742989103346
"FLVCR2",7.49873843981712,-0.527267193352028,0.751913369629902,-0.701233964773832,0.483157016658832,0.843742989103346
"ZSCAN2",128.618793993374,-0.152815902450939,0.217685440870606,-0.702003321121388,0.482677092289411,0.843742989103346
"LOC728392",68.6933851644603,0.181338134840339,0.258518754780371,0.701450596860554,0.483021855395239,0.843742989103346
"EMC10",926.299940737182,-0.0793440311309531,0.113027560981047,-0.701988350825848,0.482686428285825,0.843742989103346
"NRP2",618.72478381786,0.086365391081162,0.123216872009862,0.700921794819216,0.483351822098336,0.843742989103346
"IL31RA",44.9970704280156,-0.227552105377884,0.324208375130479,-0.70186991710595,0.48276029112664,0.843742989103346
"SMIM15",489.817290494148,-0.101957531127663,0.145551171012146,-0.70049268871327,0.483619669533242,0.843742989103346
"ZKSCAN4",82.7552246254883,-0.168122537472842,0.239984178091023,-0.700556756742,0.483579673244377,0.843742989103346
"SEPT7P2",59.9551117529038,-0.198039600478903,0.282454200899315,-0.701138803559509,0.483216396210595,0.843742989103346
"CPSF4",258.112675854002,-0.106348742866748,0.151749674167036,-0.700816943762833,0.483417262546661,0.843742989103346
"LRGUK",7.81324472696642,-0.518915617493442,0.740716285635224,-0.70055921215291,0.483578140420008,0.843742989103346
"IPPK",455.469129450321,0.0903829065547836,0.128970795005641,0.700801344605422,0.483426998823791,0.843742989103346
"TMSB15B",13.1737340295701,-0.396378217923218,0.564757249245767,-0.70185591854302,0.482769021931376,0.843742989103346
"EPAS1",3294.68230025038,0.0643261029970973,0.0919115508906546,0.699869628721909,0.484008726049886,0.844301909151171
"SAMD4B",1003.7159389869,0.0746690736494291,0.106719389083189,0.699676734386326,0.484129209204655,0.844392239298199
"WDR45",296.308287024983,0.106838921754909,0.152751790813061,0.699428276331367,0.484284421810943,0.84454310846741
"GLMN",36.5076856636591,-0.268854289527922,0.384605813616646,-0.699038548064959,0.484527940746899,0.844843269767351
"ARMCX4",24.1161828391538,0.292351295173541,0.418282397289633,0.698932819233861,0.484594016097943,0.844843269767351
"CDKAL1",300.2118270749,0.103466181401191,0.14805917944599,0.698816390772546,0.484666783844027,0.844850296444041
"GBA",759.775995982843,0.0835642202374531,0.119618425755818,0.698589867818828,0.484808377573306,0.844912695659862
"KLHL12",641.614962027506,-0.0948058707244905,0.135815940063464,-0.698046714400311,0.485147980217953,0.844912695659862
"FAM149B1",320.624119257205,-0.111868194707372,0.160286870060531,-0.697924880965771,0.485224173354065,0.844912695659862
"SLC25A22",201.165830756203,0.148847348845432,0.213352351921923,0.697659751601443,0.485390004397876,0.844912695659862
"EFCAB5",13.4456472584629,0.382223640840202,0.547847866395265,0.697682083449848,0.485376035264566,0.844912695659862
"DNASE2",446.748080619503,-0.0890183598291295,0.127451035429534,-0.698451444738135,0.484894913346434,0.844912695659862
"SAP130",683.049223338892,0.0820173334558592,0.117512396096824,0.697946226781736,0.485210823474338,0.844912695659862
"INO80D",272.083397485224,-0.118493940781495,0.169835339407795,-0.697698966508833,0.485365474630662,0.844912695659862
"N6AMT1",52.762843423354,-0.197441757947657,0.282763038147931,-0.698258723066777,0.485015408046088,0.844912695659862
"AASDH",201.287985401948,-0.132192633020252,0.189453620511329,-0.697757227671174,0.485329032260949,0.844912695659862
"SEC31B",114.58644657949,-0.14038350849352,0.201466811613151,-0.696807118599164,0.485923510554997,0.845721589950647
"CIRBP",795.303466408372,0.0759029659544874,0.108982601816212,0.696468653615832,0.486135381452078,0.845850788990301
"BAX",815.520490129128,0.0755894911244009,0.108525004087703,0.696516823563665,0.486105225180397,0.845850788990301
"CAPS2",10.2719023468442,-0.450026595800385,0.646561467341735,-0.696030646012078,0.486409637767317,0.846088431615921
"APOM",11.4870522182945,0.451221795046174,0.648244775395327,0.696066998412752,0.486386872707168,0.846088431615921
"S100A14",31853.292623846,0.0603872337839673,0.0868071330546036,0.695648291321663,0.486649115645971,0.846319370137489
"FBXW5",555.778561001897,0.263752245761803,0.379172943841406,0.695598802725021,0.486680116193294,0.846319370137489
"GOSR1",838.67483892939,-0.0752844285631966,0.108271509913734,-0.695329996073576,0.486848520156109,0.846492454553506
"LRP10",2564.36052998192,0.0762176808990808,0.109679131613551,0.694915065225261,0.487108530874076,0.84682474582366
"KLK9",60.4623600011668,0.222886897677615,0.32084911016577,0.694678247860679,0.487256962835298,0.846962993948331
"RC3H1",444.042953660341,-0.0926117626444361,0.133382759140053,-0.694330835870572,0.487474757286253,0.847150161241805
"NPHP1",80.1325042453513,-0.164852729213424,0.23744189752711,-0.694286606240595,0.487502488850646,0.847150161241805
"ISM2",8.61107720744771,-0.486653236167437,0.701431043743482,-0.693800538924264,0.487807304610248,0.847560019927136
"ABCE1",1077.46226521724,-0.208894054801386,0.301189527974732,-0.693563472163318,0.487956007914918,0.847698557354382
"TLX1",24.1340519455018,0.295327679970538,0.426018518043808,0.693227330414236,0.488166899249095,0.847886704215728
"CIC",896.315815132978,-0.0846296766055788,0.122090628599967,-0.693170946665118,0.488202278556237,0.847886704215728
"MDK",471.990703673616,-0.109162130656746,0.15755880983707,-0.692834191687726,0.488413612163151,0.848018165964436
"PRKAG1",1034.34171841146,0.0696682798995475,0.1005560310346,0.692830446694698,0.488415962644394,0.848018165964436
"TMEM259",1481.16734940977,0.093567699516393,0.135076068697958,0.692703751436673,0.488495484363453,0.848021877512367
"TMEM87B",389.112277465704,-0.0981175446737378,0.141686539292116,-0.692497291301951,0.488625086367471,0.848021877512367
"FBXL2",313.449468945885,-0.103166758787275,0.148963920442587,-0.69256205449451,0.488584430327926,0.848021877512367
"WNT5B",76.0443419329531,0.183782283538551,0.265495517765879,0.692223677013694,0.488796871855058,0.848200247348655
"GPR39",90.0811557255201,0.167525544444762,0.242135896208923,0.69186579547964,0.489021612648119,0.848350690339877
"MRPS28",202.661747506016,0.114012268930347,0.164786554492406,0.691878468371045,0.489013653433724,0.848350690339877
"SRD5A1",253.110310318189,0.105237076364379,0.152160667407137,0.691618130740685,0.489177172591728,0.848500794288023
"E2F8",45.7403348769669,-0.208851333750448,0.302373946752993,-0.690705452613141,0.489750662071652,0.848537551102717
"SLC15A3",15.2759110912367,0.415865091846743,0.601647615096353,0.691210405247169,0.489433325851595,0.848537551102717
"EDC3",528.644667352183,0.0876883884811331,0.126940807448934,0.690781713488067,0.489702729017811,0.848537551102717
"ZNF556",39.8257490325304,-0.23602466672725,0.341667782028975,-0.690801647511601,0.489690200091552,0.848537551102717
"CHCHD10",204.463710773131,0.118602553876666,0.171597403882991,0.69116753046881,0.489460266097227,0.848537551102717
"ITIH4",20.999233260017,0.320687555797856,0.464091984009219,0.690999988897646,0.489565548024316,0.848537551102717
"SERPINI1",63.2082708817812,0.186497641021967,0.269980938180177,0.690780772446624,0.48970332048515,0.848537551102717
"NLGN4X",14.6077333997713,-0.375050564130286,0.542625205037163,-0.691177926584889,0.489453733653791,0.848537551102717
"SLC35F3",27.3636968346036,-0.286425959769501,0.41495896191993,-0.690251292427248,0.490036172461322,0.848673326155011
"PPM1K",158.243932473426,-0.124910685279064,0.180920626150537,-0.690417051592175,0.489931956642131,0.848673326155011
"LRBA",2075.59223490385,-0.0679799484166468,0.098477376326829,-0.690310312401433,0.489999064156794,0.848673326155011
"GABBR1",512.695910738515,0.106779052396888,0.154723850652151,0.690126647875048,0.490114546626245,0.848689474863789
"CDH13",1585.03363533241,-0.0771796530234834,0.111870790978841,-0.689899949291333,0.490257107740569,0.848816750421093
"CRNN",30.6047538399296,0.285974123864988,0.414866382693002,0.689316213110972,0.490624297261982,0.848970415750811
"AKR1C3",1231.6880891387,-0.0751244553225966,0.109023578289426,-0.689066131393734,0.490781652221721,0.848970415750811
"LINC00842",255.871239299087,-0.105196996818503,0.15263584495627,-0.689202440282901,0.490695881374805,0.848970415750811
"NAA16",95.2314189070248,-0.164831089835516,0.239345696551462,-0.688673714256967,0.491028621304317,0.848970415750811
"KLF11",77.5495690297346,-0.16459497648914,0.23900723608352,-0.688661059749769,0.491036586573307,0.848970415750811
"SLC30A5",381.910260004852,-0.108440939803126,0.157429783646016,-0.688820992392125,0.490935923474313,0.848970415750811
"NAT1",111.364543125567,-0.150817634913997,0.218787453678453,-0.689334019745255,0.490613094109732,0.848970415750811
"ZCCHC7",347.21904616331,-0.0973756327573818,0.141275275113545,-0.689261674975466,0.490658611117177,0.848970415750811
